Whisky,Meta Critic,STDEV,#,Cost,Class,Super Cluster,Cluster,Country,Type,Primary Score,image_path_0,image_path_1,image_path_2
Hakushu Distiller's Reserve,8.35,0.17,5,$$$$,SingleMalt-like,GH,H,Japan,Malt,9,,,
Two Brewers Release 25 Peated,8.7,0.38,3,$$$$,SingleMalt-like,I,I,Canada,Malt,9,,,
Bruichladdich Octomore 9.2,8.65,0.56,3,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Bruichladdich Octomore 8.2,9.03,0.2,9,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Bruichladdich Octomore 9.3,9.07,0.25,13,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Bruichladdich Octomore 8.3,9.07,0.19,13,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Lagavulin 12yo Cask Strength,9.08,0.18,29,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Bruichladdich Octomore 7.3,9.08,0.46,15,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Bruichladdich Octomore 6.2,9.08,0.18,12,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Bruichladdich Octomore 10 (Third Edition),9.17,0.2,5,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Bowmore Legend,7.63,0.63,11,$$,SingleMalt-like,I,I,Scotland,Malt,9,,,
Ardbeg Ardbog,9.02,0.4,25,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Compass Box No Name,9.02,0.3,17,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Lagavulin Distiller's Edition (All Vintages),9.02,0.26,26,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Bowmore Gold Reef,8.31,0.35,11,$$,SingleMalt-like,I,I,Scotland,Malt,9,,,
Glen Moray Classic Peated,8.36,0.29,6,$$,SingleMalt-like,I,I,Scotland,Malt,9,,,
Bunnahabhain 12yo Cask Strength,8.61,0.52,3,$$$$,SingleMalt-like,EF,F,Scotland,Malt,9,,,
Game of Thrones House Tyrell Clynelish Reserve,8.78,0.21,10,$$$$,SingleMalt-like,EF,F,Scotland,Malt,9,,,
Arran Malt Tokaji Aszu Wine Finish,8.77,0.35,4,$$$$,SingleMalt-like,EF,F,Scotland,Malt,9,,,
Compass Box Spice Tree,8.76,0.34,29,$$$$,SingleMalt-like,EF,F,Scotland,Malt,9,,,
Dun Bheagan Islay 1999,8.42,0.24,3,$$,SingleMalt-like,I,I,Scotland,Malt,9,,,
Clynelish 14yo,8.73,0.29,24,$$$$,SingleMalt-like,EF,F,Scotland,Malt,9,,,
Two Brewers Release 03 Peated,8.5,0.49,8,$$$$,SingleMalt-like,I,I,Canada,Malt,9,,,
Bruichladdich Octomore 12.3,9.01,0.17,3,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Dun Bheagan Islay (all vintage editions),8.57,0.33,7,$$,SingleMalt-like,I,I,Scotland,Malt,9,,,
Glen Garioch 12yo,8.7,0.29,21,$$$$,SingleMalt-like,EF,F,Scotland,Malt,9,,,
Laphroaig Lore,8.68,0.31,22,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Bruichladdich Octomore 10.2,8.98,0.23,5,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Laphroaig 18yo,9.01,0.26,25,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Aberlour A'Bunadh Alba (all batches),8.63,0.65,3,$$$$,SingleMalt-like,EF,F,Scotland,Malt,9,,,
Ardbeg Perpetuum,8.77,0.4,19,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Bruichladdich Octomore 9.1,8.73,0.33,11,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Aultmore 18yo,8.7,0.31,10,$$$$$,SingleMalt-like,GH,H,Scotland,Malt,9,,,
Ardbeg Dark Cove,8.9,0.28,24,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Two Brewers Release 13 Classic,8.64,0.73,4,$$$$,SingleMalt-like,GH,G,Canada,Malt,9,,,
Bruichladdich Octomore 7.2,8.89,0.44,14,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Mackinlay's Shackleton Rare Old Highland Malt Journey edition,8.6,0.25,11,$$$$$,SingleMalt-like,GH,H,Scotland,Malt,9,,,
Two Brewers Classic (all releases),8.59,0.41,9,$$$$,SingleMalt-like,GH,G,Canada,Malt,9,,,
Bruichladdich Octomore 6.3,8.82,0.62,12,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Ardbeg Auriverdes,8.82,0.38,20,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Two Brewers Release 16 Classic,8.55,0.55,6,$$$$,SingleMalt-like,GH,G,Canada,Malt,9,,,
Two Brewers Release 20 Innovative,8.53,0.53,5,$$$$,SingleMalt-like,GH,G,Canada,Malt,9,,,
Ichiro's Malt Chichibu The Floor Malted,8.51,0.46,7,$$$$$+,SingleMalt-like,GH,G,Japan,Malt,9,,,
Two Brewers Release 01 Classic,8.51,0.46,6,$$$$,SingleMalt-like,GH,G,Canada,Malt,9,,,
Tomatin Legacy,8.18,0.4,13,$$,SingleMalt-like,GH,G,Scotland,Malt,9,,,
Nikka Miyagikyo NAS,8.5,0.29,13,$$$$,SingleMalt-like,GH,H,Japan,Malt,9,,,
Timorous Beastie 10yo,8.5,0.17,3,$$,SingleMalt-like,GH,G,Scotland,Malt,9,,,
Shelter Point Classic Single Cask (KWM) Single Malt Whisky,8.18,0.43,3,$$$$,SingleMalt-like,GH,G,Canada,Malt,9,,,
Ichiro's Malt Chichibu The First,8.47,0.45,13,$$$$$+,SingleMalt-like,GH,G,Japan,Malt,9,,,
Glen Breton Ice 10yo,8.22,0.59,8,$$$$,SingleMalt-like,GH,G,Canada,Malt,9,,,
Ardbeg Grooves,8.87,0.24,19,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Bruichladdich Octomore 12.1,8.85,0.21,4,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Benromach Traditional,8.43,0.46,13,$$,SingleMalt-like,GH,G,Scotland,Malt,9,,,
Glen Breton Ice 12yo,8.24,0.25,3,$$$$,SingleMalt-like,GH,G,Canada,Malt,9,,,
Bruichladdich Octomore 11.1,8.87,0.17,8,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Compass Box No Name No. 2,8.87,0.15,7,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Talisker Skye,8.41,0.31,14,$$,SingleMalt-like,GH,G,Scotland,Malt,9,,,
Bruichladdich Octomore 8.1,8.86,0.14,15,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Bruichladdich Octomore 10 (Fourth Edition),8.92,0.07,3,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Hakushu 12yo,8.72,0.24,24,$$$$,SingleMalt-like,GH,H,Japan,Malt,9,,,
Kirin 18yo (Fuji Sanroku),7.81,2.64,5,$$$$$+,SingleMalt-like,GH,G,Japan,Malt,9,,,
Two Brewers Release 06 Classic,8.76,0.36,6,$$$$,SingleMalt-like,GH,G,Canada,Malt,9,,,
BenRiach 15yo Sauternes Finish,8.09,0.54,3,$$$$,SingleMalt-like,EF,F,Scotland,Malt,9,,,
Bruichladdich Octomore 8.4,8.97,0.09,4,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Knockando 12yo (All Vintages),7.88,0.48,12,$$,SingleMalt-like,GH,G,Scotland,Malt,9,,,
Bruichladdich Octomore 10.4,8.75,0.63,7,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Glenkinchie Distiller's Edition (all editions),8.35,0.26,15,$$$$,SingleMalt-like,GH,B,Scotland,Malt,9,,,
Ardbeg Kelpie,8.78,0.18,15,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Penderyn Aur Cymru,7.72,0.65,9,$$$$,SingleMalt-like,EF,E,Wales,Malt,9,,,
Glen Breton 10yo Rare,7.98,0.55,17,$$$$,SingleMalt-like,GH,G,Canada,Malt,9,,,
Glen Moray 12yo,8.01,0.31,14,$$,SingleMalt-like,GH,G,Scotland,Malt,9,,,
Bruichladdich Octomore 6.1,8.79,0.3,21,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
BenRiach 18yo Dunder,8.79,0.28,5,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Yamazaki Limited Edition 2015,8.99,0.11,3,$$$$$+,SingleMalt-like,GH,G,Japan,Malt,9,,,
Mackinlay's Shackleton Rare Old Highland Malt Discovery edition,8.88,0.4,16,$$$$$,SingleMalt-like,GH,H,Scotland,Malt,9,,,
Bushmills Black Bush,8.35,0.38,25,$$,SingleMalt-like,ABC,C,Ireland,Blend,9,,,
Two Brewers Release 26 Classic,8.87,0.29,3,$$$$,SingleMalt-like,GH,G,Canada,Malt,9,,,
Bruichladdich Octomore 11.3,8.93,0.31,8,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Old Pulteney 21yo,8.86,0.31,22,$$$$$,SingleMalt-like,GH,H,Scotland,Malt,9,,,
Bruichladdich Octomore 10.3,8.8,0.34,5,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Ichiro's Malt Chichibu On The Way,8.85,0.35,7,$$$$$+,SingleMalt-like,GH,G,Japan,Malt,9,,,
Glencadam 21yo,8.83,0.28,12,$$$$$,SingleMalt-like,GH,H,Scotland,Malt,9,,,
Benromach 5yo,8.81,0.2,4,$$,SingleMalt-like,GH,G,Scotland,Malt,9,,,
Bruichladdich Octomore 12.2,8.81,0.46,4,$$$$$,SingleMalt-like,J,J,Scotland,Malt,9,,,
Mackinlay's Shackleton Rare Old Highland Malt (both limited editions),8.79,0.36,19,$$$$$,SingleMalt-like,GH,H,Scotland,Malt,9,,,
Two Brewers Release 10 Cask Strength,8.78,0.25,7,$$$$,SingleMalt-like,GH,G,Canada,Malt,9,,,
Two Brewers Cask Strength (all releases),8.76,0.27,6,$$$$,SingleMalt-like,GH,G,Canada,Malt,9,,,
Glenfarclas 10yo,8.35,0.33,19,$$$,SingleMalt-like,ABC,B,Scotland,Malt,9,,,
Teeling Small Batch (Rum Cask Finish),8.28,0.37,26,$$,SingleMalt-like,EF,E,Ireland,Blend,9,,,
Aberlour 12yo Double Cask Matured,8.35,0.25,23,$$$,SingleMalt-like,ABC,B,Scotland,Malt,9,,,
Glenmorangie Quinta Ruban,8.58,0.42,30,$$$,SingleMalt-like,ABC,B,Scotland,Malt,9,,,
Arran Malt Amarone Cask Finish,8.74,0.29,18,$$$,SingleMalt-like,ABC,B,Scotland,Malt,9,,,
Karuizawa 1990 Sherry Butt,9.03,0.3,4,$$$$$+,SingleMalt-like,ABC,A,Japan,Malt,9,,,
Yamazaki Sherry Cask (all vintages),9.09,0.34,11,$$$$$+,SingleMalt-like,ABC,A,Japan,Malt,9,,,
BenRiach 12yo Matured in Sherry Wood,8.63,0.21,20,$$$,SingleMalt-like,ABC,B,Scotland,Malt,9,,,
Aberlour 12yo Non-Chill-Filtered,8.83,0.22,16,$$$,SingleMalt-like,ABC,B,Scotland,Malt,9,,,
Amrut Greedy Angels (8yo and 10yo),9.07,0.2,13,$$$$$+,SingleMalt-like,ABC,C,India,Malt,9,,,
Redbreast All Sherry Single Cask 1999,8.51,0.89,5,$$$$$,SingleMalt-like,ABC,A,Ireland,Malt,9,,,
Glengoyne 12yo,8.48,0.33,16,$$$,SingleMalt-like,ABC,B,Scotland,Malt,9,,,
Port Ellen Douglas Laing McGibbon's Provenance John Milroy 23yo 1982-2005,8.95,0.13,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Talisker 35yo,9.33,0.33,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Port Ellen 8th release 29yo,8.92,0.48,8,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Game of Thrones House Targaryen Cardhu Gold Reserve,8.05,0.31,13,$$$$,SingleMalt-like,GH,H,Scotland,Malt,8,,,
Tomatin Cu Bocan,8.01,0.38,15,$$$$,SingleMalt-like,GH,H,Scotland,Malt,8,,,
Port Ellen 2nd release 24yo 59.35%,9.51,0.23,7,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Port Ellen 9th release 30yo,9.48,0.12,5,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Caol Ila 35yo,9.41,0.22,4,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Port Ellen 14th release 35yo,9.4,0.12,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Port Ellen 10th release 31yo,9.38,0.54,5,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Port Ellen 15th release 32yo,9.37,0.47,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Port Ellen 11th release 32yo,9.34,0.46,6,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Port Ellen 7th release 28yo,9.33,0.33,4,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Port Ellen (all OB releases),9.32,0.31,19,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Tomatin Cu Bocan 1989 Limited Edition,8.96,0.34,4,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Caol Ila 30yo,9.3,0.25,14,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Port Ellen 16th release 37yo,9.22,0.37,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Port Ellen 6th release 27yo,9.22,0.16,7,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Nikka Gold & Gold,8.14,0.31,8,$$$,SingleMalt-like,GH,G,Japan,Malt,8,,,
Talisker 30yo,9.22,0.33,14,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Port Ellen 3rd release 24yo,9.21,0.22,9,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Port Ellen 4th release 25yo,9.2,0.13,5,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Oban 21yo,8.92,0.18,5,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Talisker 25yo,8.94,0.29,21,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Port Ellen 17th release 37yo,9.18,0.7,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Ledaig 42yo,9.1,0.49,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Port Ellen 12th release 32yo,9.06,0.51,10,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Glenfarclas 17yo,8.74,0.26,26,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt,8,,,
Tomintoul 25yo,8.37,0.69,6,$$$$$+,SingleMalt-like,GH,G,Scotland,Malt,8,,,
Auchentoshan Virgin Oak,8.16,0.58,7,$$$$,SingleMalt-like,GH,H,Scotland,Malt,8,,,
Hibiki Harmony Master's Select,8.25,0.67,7,$$$$$,SingleMalt-like,GH,G,Japan,Blend,8,,,
Balcones Texas Single Malt Whisky,8.63,0.34,21,$$$$,SingleMalt-like,EF,E,USA,Malt,8,,,
Westland American Single Malt (American Oak),8.52,0.34,20,$$$$,SingleMalt-like,EF,E,USA,Malt,8,,,
Paul John Brilliance,8.47,0.34,15,$$$,SingleMalt-like,EF,E,India,Malt,8,,,
GlenDronach 18yo Marsala Finish,8.57,0.14,5,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt,8,,,
Kavalan Solist Moscatel Cask,9.11,0.31,6,$$$$$+,SingleMalt-like,GH,G,Scotland,Malt,8,,,
Glen Scotia 25yo,9.06,0.08,3,$$$$$+,SingleMalt-like,GH,G,Scotland,Malt,8,,,
Mackmyra Iskristall,8.91,0.28,3,$$$$$,SingleMalt-like,GH,G,Sweden,Malt,8,,,
High Coast (Box) The 2nd Step Collection 03,8.87,0.35,4,$$$$$,SingleMalt-like,GH,G,Sweden,Malt,8,,,
Mackmyra Vinterdrom,8.86,0.05,3,$$$$$,SingleMalt-like,GH,G,Sweden,Malt,8,,,
Glenfiddich 26yo Excellence,8.7,0.47,6,$$$$$+,SingleMalt-like,GH,G,Scotland,Malt,8,,,
Stronachie 18yo,8.67,0.3,8,$$$$,SingleMalt-like,GH,H,Scotland,Malt,8,,,
BenRiach Cask Strength,8.65,0.41,11,$$$$,SingleMalt-like,GH,H,Scotland,Malt,8,,,
Linkwood 12yo (F&F),8.65,0.31,9,$$$$,SingleMalt-like,GH,H,Scotland,Malt,8,,,
Arran Malt 12yo Cask Strength (all editions),8.64,0.37,19,$$$$,SingleMalt-like,GH,H,Scotland,Malt,8,,,
Glenmorangie The Tarlogan,8.61,0.33,6,$$$$,SingleMalt-like,GH,H,Scotland,Malt,8,,,
Glencadam 15yo,8.53,0.34,16,$$$$,SingleMalt-like,GH,H,Scotland,Malt,8,,,
Dalwhinnie 15yo,8.51,0.38,27,$$$$,SingleMalt-like,GH,H,Scotland,Malt,8,,,
Glenfarclas 21yo,8.65,0.28,19,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt,8,,,
Glendalough 13yo Single Malt,8.48,0.3,9,$$$$,SingleMalt-like,GH,G,Ireland,Malt,8,,,
Tomatin Cu Bocan Virgin Oak Edition,8.48,0.51,3,$$$$,SingleMalt-like,GH,H,Scotland,Malt,8,,,
Balblair 2000,8.45,0.37,13,$$$$,SingleMalt-like,GH,H,Scotland,Malt,8,,,
Game of Thrones House Stark Dalwhinnie Winter’s Frost,8.44,0.35,13,$$$$,SingleMalt-like,GH,H,Scotland,Malt,8,,,
Inchgower 14yo (F&F),8.44,0.61,9,$$$$,SingleMalt-like,GH,H,Scotland,Malt,8,,,
Macallan Rare Cask (all batches),8.69,0.34,14,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,8,,,
Aultmore 12yo,8.39,0.38,19,$$$$,SingleMalt-like,GH,H,Scotland,Malt,8,,,
Bowmore Mizunara Cask Finish,8.83,0.47,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Tamdhu 10yo,8.29,0.6,18,$$$$,SingleMalt-like,GH,H,Scotland,Malt,8,,,
Spirit of Hven Seven Stars No. 5 Alioth,8.84,0.27,3,$$$$$,SingleMalt-like,I,I,Sweden,Malt,8,,,
Port Ellen 2nd release 24yo 54.3%,8.72,0.73,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Port Ellen Douglas Laing McGibbon's Provenance John Milroy 23yo (all editions),8.8,0.33,6,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Laphroaig Cairdeas 2018 Fino,8.85,0.24,11,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Laphroaig An Cuan Mor,8.82,0.23,18,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Ardbeg An Oa,8.8,0.26,20,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Bruichladdich Port Charlotte Islay Barley Heavily Peated,8.79,0.18,9,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Timorous Beastie 21yo Sherry Edition,9.03,0.21,3,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt,8,,,
Bunnahabhain Ceòbanach,8.78,0.24,17,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Compass Box Peat Monster 2015 Cask Strength,8.77,0.31,5,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Game of Thrones House Lannister Lagavulin 9yo,8.77,0.21,18,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Kilchoman Machir Bay (all vintages),8.77,0.24,30,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Laphroaig 15yo (200th Anniversary),8.77,0.33,18,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Macallan Cask Strength,9.04,0.38,22,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,8,,,
Kilchoman 100% Islay (all editions),8.73,0.24,23,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Bunnahabhain Toiteach A Dha,8.72,0.33,10,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Big Peat Christmas Edition (all editions),8.71,0.35,15,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Bruichladdich 21yo Cuvée 407 PX,9.08,0.17,8,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,8,,,
Kilchoman Spring 2011 Release,8.71,0.25,8,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Laphroaig Cairdeas 2017,8.71,0.28,15,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Caol Ila Distiller's Edition (all editions),8.68,0.37,18,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Laphroaig Triple Wood,8.66,0.35,24,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Ardbeg Drum,8.65,0.42,18,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Jura Prophecy,8.64,0.31,21,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Bunnahabhain Toiteach,8.57,0.39,19,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
AnCnoc Flaughter,8.55,0.34,11,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
BenRiach 17yo Septendecim Peated,8.54,0.55,19,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Benromach Peat Smoke,8.54,0.33,21,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Bruichladdich Port Charlotte The Peat Project,8.51,0.38,7,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Kilchoman Winter 2010 Release,8.49,0.15,4,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Balvenie TUN 1401 (all batches),9.15,0.31,19,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,8,,,
Glengoyne 25yo,9.2,0.28,22,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,8,,,
Glenfarclas 40yo,9.29,0.26,17,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,8,,,
Laphroaig Cairdeas 2016 Madeira,8.83,0.41,17,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Lagavulin 8yo,8.85,0.25,27,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Nikka Pure Malt Black,8.74,0.25,17,$$$,SingleMalt-like,I,I,Japan,Malt,8,,,
AnCnoc Rutter,8.88,0.33,8,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Glenglassaugh 26yo,8.44,0.56,8,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,8,,,
Highland Park 15yo Freya,8.71,0.4,15,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Highland Park 17yo Ice,8.69,0.3,10,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Nikka Pure Malt White,8.69,0.35,13,$$$,SingleMalt-like,I,I,Japan,Malt,8,,,
Port Ellen Douglas Laing McGibbon's Provenance John Milroy 23yo 1978-2001,8.59,0.43,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,8,,,
Spirit of Hven Seven Stars No. 2 Merak,8.5,0.35,4,$$$$$,SingleMalt-like,I,I,Sweden,Malt,8,,,
Spirit of Hven Seven Stars No. 3 Phecda,8.45,0.39,3,$$$$$,SingleMalt-like,I,I,Sweden,Malt,8,,,
BenRiach 18yo Latada,8.84,0.17,8,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt,8,,,
Spirit of Hven Seven Stars No. 1 Dubhe,8.22,0.41,3,$$$$$,SingleMalt-like,I,I,Sweden,Malt,8,,,
Glenrothes 25yo,8.85,0.47,5,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,8,,,
Ardbeg Uigeadail,9.19,0.37,31,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Lagavulin 16yo,9.1,0.35,34,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Macallan Reflexion,8.86,0.34,7,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,8,,,
Laphroaig Cairdeas 2015,9.09,0.23,13,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Macallan 25yo Sherry Oak,8.86,0.45,9,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,8,,,
Ardbeg Corryvreckan,9.06,0.33,28,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Glengoyne 40yo,8.9,0.83,3,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,8,,,
BenRiach 35yo,8.9,0.65,5,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,8,,,
Kilchoman 2008 Vintage,9.01,0.17,7,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Macallan 18yo Sherry Oak,8.92,0.31,25,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,8,,,
Laphroaig Cairdeas 2019 Triple Wood Cask Strength,8.99,0.18,9,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Macallan 10yo Sherry Oak Cask Strength,8.94,0.54,7,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,8,,,
Laphroaig Cairdeas 2014 Amontillado,8.97,0.2,14,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Kilchoman 2009 Vintage,8.96,0.11,4,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Kilchoman Original Cask Strength,8.96,0.39,9,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Laphroaig Quarter Cask,8.96,0.3,30,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
AnCnoc Cutter,8.95,0.45,10,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Kilchoman 2007 Vintage,8.94,0.31,9,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Laphroaig 10yo Cask Strength (all batches),8.94,0.58,30,$$$$,SingleMalt-like,J,J,Scotland,Malt,8,,,
Westland Winter 2016,8.46,0.51,6,$$$$,SingleMalt-like,ABC,C,USA,Malt,8,,,
"Macallan 10yo Full Proof 57% 1980 (OB, Giovinetti & Figli)",9.58,0.25,3,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,8,,,
Westland Single Cask,8.76,0.14,6,$$$$,SingleMalt-like,EF,E,USA,Malt,8,,,
Yamazaki Puncheon,8.55,0.35,11,$$$$$,SingleMalt-like,GH,G,Japan,Malt,7,,,
Glengoyne Cask Strength (batch 2),8.65,0.41,3,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,7,,,
Highland Park 12yo (reviews pre-2014),8.77,0.23,22,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Glenrothes Peated Cask Reserve,8.2,0.66,4,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Balblair 10yo,8.52,0.25,3,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Bowmore Small Batch,8.2,0.53,14,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Okanagan Spirits Laird of Fintry (all editions),8.36,0.62,11,$$$,SingleMalt-like,EF,E,Canada,Malt,7,,,
BenRiach Birnie Moss,8.24,0.35,11,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Nikka Miyagikyo 15yo,8.66,0.27,13,$$$$$,SingleMalt-like,I,I,Japan,Malt,7,,,
Highland Park Einar,8.14,0.58,10,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Jura Superstition,8.28,0.45,26,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
